mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
8.562,0.829,1.366,0.163,0.486,0.139,2.154,4.38,0
8.667,0.897,1.29,0.137,0.284,0.084,1.794,4.171,0
8.758,0.866,1.013,0.143,0.386,0.13,1.672,4.252,0
8.834,0.903,0.685,0.142,0.268,0.085,1.179,3.992,0
8.915,0.91,0.482,0.129,0.242,0.071,0.925,3.901,0
8.908,0.907,0.442,0.107,0.252,0.063,0.864,3.979,0
8.936,0.923,0.42,0.098,0.205,0.059,0.782,4.01,0
8.913,0.922,0.388,0.106,0.221,0.054,0.77,3.968,0
8.921,0.92,0.275,0.092,0.206,0.051,0.625,3.953,0
8.911,0.926,0.296,0.09,0.201,0.048,0.635,4.024,0
8.947,0.928,0.242,0.083,0.184,0.048,0.557,3.86,0
8.929,0.928,0.212,0.085,0.184,0.048,0.528,3.955,0
8.928,0.94,0.196,0.077,0.162,0.044,0.479,3.981,0
8.931,0.936,0.206,0.074,0.173,0.042,0.496,4.071,0
8.935,0.932,0.236,0.079,0.177,0.044,0.537,3.879,0
8.936,0.942,0.231,0.069,0.164,0.039,0.503,3.878,0
8.931,0.941,0.204,0.072,0.157,0.042,0.476,3.899,0
8.936,0.935,0.165,0.06,0.165,0.039,0.429,4.023,0
