mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
11.577,0.768,0.541,0.112,0.593,0.242,1.487,8.612,0
11.959,0.811,0.167,0.05,0.435,0.147,0.799,7.594,0
12.257,0.833,0.116,0.036,0.385,0.121,0.658,7.621,0
12.383,0.844,0.092,0.038,0.364,0.11,0.605,7.732,0
12.51,0.864,0.108,0.03,0.325,0.099,0.563,7.618,0
12.578,0.863,0.123,0.032,0.33,0.096,0.581,7.591,0
12.686,0.878,0.092,0.026,0.293,0.09,0.501,7.598,0
12.726,0.877,0.07,0.027,0.295,0.088,0.48,7.606,0
12.762,0.89,0.07,0.023,0.251,0.087,0.43,7.549,0
12.792,0.884,0.054,0.024,0.273,0.085,0.436,7.589,0
12.832,0.894,0.074,0.021,0.245,0.08,0.42,7.534,0
12.869,0.901,0.063,0.021,0.239,0.081,0.404,7.545,0
12.923,0.902,0.06,0.018,0.239,0.074,0.391,7.536,0
12.969,0.906,0.061,0.019,0.242,0.079,0.401,7.559,0
13.009,0.918,0.069,0.015,0.208,0.071,0.363,7.563,0
13.04,0.912,0.057,0.018,0.22,0.074,0.369,7.532,0
13.06,0.92,0.048,0.014,0.195,0.067,0.324,7.539,0
13.077,0.922,0.063,0.016,0.205,0.066,0.35,7.597,0
13.096,0.924,0.042,0.013,0.178,0.059,0.292,7.546,0
13.107,0.922,0.041,0.014,0.191,0.065,0.313,7.62,0
13.129,0.936,0.048,0.012,0.167,0.054,0.281,7.572,0
13.136,0.924,0.068,0.015,0.191,0.067,0.341,7.621,0
13.154,0.941,0.048,0.011,0.155,0.051,0.265,7.618,0
13.157,0.926,0.04,0.014,0.186,0.061,0.301,7.668,0
13.172,0.937,0.051,0.01,0.152,0.047,0.259,7.602,0
13.171,0.923,0.075,0.012,0.192,0.054,0.333,7.695,0
13.187,0.932,0.049,0.011,0.169,0.046,0.275,7.697,0
13.792,0.929,0.089,0.011,0.188,0.051,0.34,9.019,0
13.612,0.933,0.049,0.012,0.176,0.049,0.286,8.12,0
13.721,0.93,0.049,0.009,0.169,0.046,0.273,8.134,0
13.748,0.93,0.022,0.011,0.174,0.048,0.255,8.166,0
13.815,0.939,0.039,0.009,0.162,0.045,0.255,8.141,0
13.817,0.94,0.077,0.01,0.153,0.045,0.285,8.06,0
13.85,0.935,0.115,0.011,0.163,0.049,0.338,8.016,0
13.858,0.932,0.055,0.01,0.17,0.043,0.278,8.042,0
13.853,0.94,0.037,0.008,0.147,0.042,0.234,7.991,0
13.851,0.946,0.03,0.009,0.137,0.039,0.215,8.07,0
13.871,0.945,0.046,0.008,0.139,0.038,0.231,8.071,0
13.878,0.944,0.038,0.009,0.147,0.04,0.233,7.993,0
13.872,0.948,0.051,0.009,0.138,0.041,0.24,8.012,0
