mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
11.167,0.757,0.526,0.116,0.617,0.282,1.541,12.24,0
11.523,0.796,0.19,0.053,0.449,0.154,0.847,11.028,0
11.906,0.823,0.143,0.039,0.404,0.131,0.717,11.071,0
12.071,0.83,0.122,0.042,0.388,0.118,0.67,11.11,0
12.23,0.844,0.133,0.034,0.36,0.119,0.645,11.09,0
12.323,0.85,0.157,0.036,0.36,0.105,0.659,11.09,0
13.278,0.847,0.129,0.032,0.351,0.105,0.617,11.974,0
13.148,0.849,0.123,0.033,0.344,0.109,0.609,10.938,0
13.24,0.856,0.135,0.028,0.336,0.108,0.606,11.409,0
13.238,0.857,0.101,0.032,0.326,0.098,0.557,11.058,0
13.263,0.864,0.114,0.025,0.311,0.092,0.541,11.156,0
13.231,0.858,0.149,0.03,0.317,0.094,0.59,11.107,0
13.254,0.868,0.121,0.025,0.303,0.096,0.545,11.001,0
13.239,0.864,0.121,0.027,0.312,0.093,0.553,10.989,0
13.237,0.869,0.114,0.025,0.289,0.089,0.517,11.025,0
13.233,0.876,0.103,0.025,0.299,0.089,0.516,11.044,0
13.258,0.883,0.101,0.023,0.281,0.087,0.492,11.007,0
13.294,0.882,0.094,0.024,0.285,0.091,0.494,11.056,0
13.314,0.884,0.11,0.024,0.264,0.081,0.479,11.043,0
13.347,0.875,0.09,0.022,0.288,0.08,0.481,11.002,0
13.374,0.896,0.117,0.021,0.256,0.083,0.477,11.085,0
13.391,0.883,0.082,0.024,0.282,0.083,0.47,11.137,0
13.393,0.9,0.092,0.021,0.243,0.074,0.43,11.047,0
13.411,0.894,0.097,0.022,0.255,0.076,0.451,10.929,0
13.425,0.886,0.094,0.019,0.263,0.07,0.447,11.041,0
13.447,0.89,0.107,0.022,0.26,0.077,0.466,11.146,0
13.601,0.897,0.094,0.019,0.255,0.074,0.441,11.098,0
13.657,0.892,0.103,0.022,0.256,0.077,0.458,11.164,0
13.707,0.892,0.106,0.019,0.249,0.075,0.448,11.123,0
13.725,0.89,0.078,0.021,0.258,0.074,0.431,11.101,0
