mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
11.766,0.76,0.473,0.105,0.601,0.238,1.417,12.005,0
11.999,0.812,0.158,0.051,0.417,0.154,0.779,10.826,0
12.255,0.838,0.114,0.039,0.376,0.117,0.646,10.775,0
12.369,0.853,0.11,0.035,0.347,0.121,0.614,10.832,0
12.436,0.841,0.127,0.035,0.366,0.102,0.63,10.815,0
12.479,0.867,0.143,0.033,0.325,0.108,0.609,10.981,0
12.544,0.86,0.119,0.03,0.322,0.1,0.57,11.148,0
13.02,0.873,0.117,0.029,0.305,0.095,0.546,11.466,0
13.025,0.871,0.096,0.026,0.308,0.092,0.522,10.37,0
13.066,0.873,0.112,0.029,0.29,0.087,0.519,10.395,0
13.167,0.871,0.097,0.023,0.299,0.091,0.509,10.502,0
13.191,0.879,0.137,0.027,0.291,0.088,0.542,10.387,0
13.224,0.876,0.079,0.022,0.297,0.087,0.485,10.307,0
13.253,0.872,0.109,0.026,0.298,0.088,0.521,10.336,0
13.274,0.873,0.082,0.021,0.293,0.089,0.486,10.287,0
13.285,0.88,0.106,0.023,0.282,0.08,0.491,10.411,0
13.267,0.884,0.069,0.02,0.272,0.085,0.447,10.497,0
13.261,0.896,0.101,0.023,0.249,0.081,0.453,10.364,0
13.261,0.891,0.094,0.02,0.262,0.078,0.454,10.436,0
13.263,0.898,0.083,0.023,0.244,0.074,0.424,10.349,0
13.271,0.9,0.099,0.02,0.242,0.081,0.442,10.455,0
13.277,0.907,0.098,0.023,0.229,0.072,0.423,10.4,0
13.283,0.906,0.102,0.019,0.225,0.077,0.422,10.587,0
13.296,0.896,0.069,0.021,0.257,0.075,0.423,10.476,0
13.306,0.899,0.066,0.021,0.253,0.08,0.419,10.518,0
13.322,0.895,0.058,0.02,0.242,0.074,0.394,10.586,0
13.333,0.905,0.059,0.017,0.231,0.077,0.385,10.608,0
13.34,0.907,0.07,0.02,0.228,0.076,0.394,10.746,0
13.341,0.904,0.07,0.018,0.234,0.073,0.395,10.583,0
13.338,0.904,0.094,0.02,0.23,0.072,0.416,10.501,0
