mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
10.779,0.748,0.756,0.09,0.667,0.196,1.71,9.863,0
11.197,0.82,0.233,0.06,0.434,0.152,0.879,9.461,0
11.483,0.849,0.139,0.051,0.368,0.136,0.694,9.471,0
11.593,0.856,0.13,0.05,0.357,0.124,0.662,9.545,0
11.792,0.872,0.094,0.044,0.305,0.116,0.559,9.413,0
11.874,0.87,0.148,0.045,0.332,0.116,0.641,9.458,0
12.0,0.882,0.117,0.04,0.301,0.111,0.568,9.34,0
12.085,0.876,0.1,0.04,0.302,0.105,0.548,9.365,0
12.2,0.891,0.077,0.035,0.269,0.099,0.48,9.488,0
12.266,0.894,0.072,0.036,0.272,0.094,0.475,9.552,0
12.341,0.89,0.074,0.034,0.265,0.099,0.472,9.583,0
12.409,0.895,0.057,0.032,0.254,0.089,0.432,9.502,0
12.47,0.905,0.067,0.03,0.238,0.09,0.425,9.633,0
12.535,0.9,0.067,0.03,0.254,0.087,0.439,9.587,0
12.589,0.913,0.078,0.029,0.22,0.081,0.407,9.529,0
12.641,0.911,0.052,0.026,0.23,0.079,0.387,9.581,0
12.672,0.908,0.043,0.023,0.218,0.076,0.36,9.609,0
12.715,0.91,0.058,0.026,0.228,0.08,0.392,9.574,0
12.759,0.914,0.055,0.025,0.209,0.074,0.363,9.432,0
12.787,0.912,0.035,0.027,0.218,0.079,0.36,9.393,0
12.816,0.922,0.046,0.021,0.181,0.069,0.317,9.328,0
12.83,0.916,0.057,0.024,0.213,0.074,0.368,9.574,0
13.242,0.922,0.065,0.021,0.198,0.073,0.357,10.274,0
13.104,0.919,0.055,0.025,0.212,0.069,0.361,9.875,0
13.108,0.919,0.042,0.021,0.198,0.067,0.328,9.874,0
13.062,0.93,0.029,0.026,0.185,0.07,0.31,9.944,0
13.097,0.925,0.037,0.02,0.187,0.07,0.314,10.08,0
13.094,0.926,0.083,0.02,0.179,0.067,0.35,10.12,0
13.095,0.936,0.039,0.017,0.169,0.059,0.285,9.796,0
13.079,0.928,0.057,0.021,0.18,0.057,0.315,10.021,0
13.071,0.928,0.026,0.014,0.169,0.061,0.27,9.908,0
13.064,0.931,0.039,0.017,0.182,0.062,0.3,9.957,0
13.06,0.935,0.041,0.014,0.173,0.061,0.29,9.829,0
13.056,0.941,0.04,0.016,0.151,0.056,0.264,9.804,0
13.047,0.944,0.034,0.013,0.153,0.059,0.259,10.013,0
13.05,0.932,0.042,0.017,0.172,0.056,0.287,9.951,0
13.037,0.939,0.046,0.015,0.16,0.054,0.275,9.881,0
13.049,0.94,0.049,0.017,0.16,0.055,0.281,9.787,0
13.043,0.94,0.027,0.013,0.151,0.052,0.244,9.881,0
